Symptom,Herbal_Remedies
dry cough,"pippali, fennel, clove"
tremors,"black pepper, honey, fennel, brahmi"
hearing loss,"guggulu, punarnava, sandalwood oil, pippali"
motion sickness,"ashwagandha, licorice root, triphala"
obesity,"neem, kulthi, licorice root, vidarikanda"
back pain,"ghee, buttermilk, onion extract, turmeric"
flu,"mint, jatamansi"
hot flashes,"amla, honey, manjistha"
bloating,"bhumi amla, fennel, arjuna bark, punarnava"
itching,"nutmeg, garlic, punarnava, yastimadhu"
bedwetting,"ghee, kesar"
restlessness,"nutmeg, coriander, arjuna bark"
diabetes,"garlic, black pepper"
acidity,"sandalwood oil, manjistha"
chickenpox,"black pepper, bhumi amla, tulsi, basil"
excessive hunger,"onion extract, basil, fennel, camphor"
constipation,"ginger, daruharidra"
pms symptoms,"bhringraj, fennel"
shingles,"bhringraj, fennel"
chest congestion,"arjuna bark, yastimadhu, coriander"
irritability,"castor oil, bhringraj, turmeric, jeera"
fluid retention,"vidarikanda, cinnamon, onion extract"
toothache,"amla, turmeric, black pepper"
indigestion,"aloe vera, ajwain"
foot pain,"fenugreek, ginger, haritaki, honey"
diabetes,"fennel, arjuna bark"
shingles,"turmeric, ajwain, camphor"
allergic rhinitis,"shatavari, cardamom, triphala, onion extract"
dry eyes,"neem, coriander, manjistha"
panic attacks,"aloe vera, bhumi amla, jeera, triphala"
varicose veins,"tulsi, guggulu, gokshura, sandalwood oil"
cold,"lemongrass, clove"
panic attacks,"punarnava, vidarikanda, licorice root"
sweaty palms,"mulethi, sandalwood oil, aloe vera, gokshura"
enlarged liver,"black pepper, fennel, camphor, tulsi"
stress,"bhumi amla, cinnamon, jeera"
flu,"aloe vera, amla, fennel"
liver issues,"gotu kola, camphor, til oil"
chickenpox,"punarnava, mulethi, clove"
hearing loss,"sandalwood oil, brahmi"
low immunity,"gokshura, daruharidra"
early menopause,"basil, kesar, arjuna bark"
knee pain,"cardamom, bhringraj, bhumi amla"
sunburn,"brahmi, tulsi"
gas,"arjuna bark, shatavari, castor oil, kulthi"
motion sickness,"kulthi, fennel"
palpitations,"pippali, onion extract"
tongue sores,"ashwagandha, basil, kesar, gokshura"
menstrual cramps,"til oil, castor oil, arjuna bark, lemongrass"
kidney stone,"licorice root, ginger"
gastritis,"fennel, basil, black pepper, amla"
hepatitis,"coriander, punarnava"
morning sickness,"pippali, til oil"
gum bleeding,"buttermilk, clove, mint, licorice root"
itchy eyes,"mulethi, triphala, turmeric, til oil"
numbness,"pippali, ajwain"
dark circles,"gokshura, fennel"
dry eyes,"bhumi amla, brahmi, licorice root"
dandruff,"shatavari, fennel, kulthi, ginger"
psoriasis,"black pepper, yastimadhu, sandalwood oil, fennel"
panic attacks,"cardamom, neem, arjuna bark"
hot flashes,"nutmeg, bhumi amla, cinnamon"
bloating,"amla, onion extract, til oil"
measles,"sandalwood oil, coriander"
depression,"castor oil, guggulu"
hepatitis,"honey, bhumi amla"
hiccups,"shatavari, shankhpushpi"
blurred vision,"kulthi, bhringraj, ghee, triphala"
flu,"bhringraj, rock salt, sandalwood oil, neem"
stomach cramps,"jatamansi, triphala, castor oil, neem"
dry cough,"arjuna bark, triphala"
dark circles,"basil, yastimadhu"
fever,"jeera, arjuna bark"
neck pain,"neem, haritaki, bhumi amla, mint"
gastritis,"jatamansi, manjistha, cardamom, turmeric"
body odor,"ghee, turmeric, triphala"
colitis,"lemongrass, neem"
stomach cramps,"bhringraj, mint"
laryngitis,"aloe vera, jeera, turmeric, honey"
cold feet,"pippali, triphala"
brittle nails,"jatamansi, bhumi amla, cinnamon"
sore throat,"bhringraj, haritaki, arjuna bark"
stomach cramps,"cinnamon, til oil, pippali, fenugreek"
fatigue,"kulthi, yastimadhu"
bad breath,"haritaki, gokshura, shatavari, tulsi"
cold feet,"rock salt, coriander, bhringraj"
cold feet,"daruharidra, kesar, amla"
ear discharge,"ghee, shankhpushpi, cardamom, camphor"
whooping cough,"neem, fenugreek, licorice root, guggulu"
mental fog,"fennel, ghee, ajwain"
ear discharge,"ajwain, manjistha, cardamom, arjuna bark"
morning sickness,"bhumi amla, onion extract"
hernia,"amla, rock salt, cinnamon, black pepper"
eye strain,"ghee, licorice root, gokshura, cardamom"
allergic rhinitis,"ashwagandha, kesar, nutmeg, bhumi amla"
gallstone,"daruharidra, buttermilk"
dry cough,"kesar, camphor"
rheumatism,"cinnamon, kulthi"
migraine,"shankhpushpi, ghee, licorice root"
asthma,"shatavari, triphala"
hepatitis,"camphor, jeera"
flu,"arjuna bark, buttermilk, kulthi"
liver issues,"clove, basil"
numbness,"ajwain, yastimadhu, black pepper"
depression,"black pepper, haritaki"
dandruff,"pippali, cardamom, arjuna bark, mint"
weak bones,"triphala, mint, bhringraj, gotu kola"
gastritis,"ghee, onion extract"
sunburn,"gokshura, yastimadhu"
eye strain,"black pepper, garlic"
dandruff,"neem, mint"
measles,"camphor, coriander"
motion sickness,"black pepper, triphala, neem, castor oil"
laryngitis,"jatamansi, bhumi amla, shatavari"
low appetite,"gotu kola, triphala, ginger, nutmeg"
sleep apnea,"mint, turmeric"
mental fog,"basil, manjistha, buttermilk, aloe vera"
bronchitis,"nutmeg, onion extract, vidarikanda, buttermilk"
enlarged liver,"shatavari, pippali"
sinusitis,"daruharidra, gokshura, onion extract, black pepper"
eczema,"til oil, basil, arjuna bark"
cracked heels,"vidarikanda, bhumi amla, lemongrass, ghee"
colitis,"til oil, amla, yastimadhu"
diabetes,"sandalwood oil, rock salt, bhringraj"
bad breath,"kulthi, ghee, jeera"
menstrual cramps,"yastimadhu, camphor"
body odor,"haritaki, nutmeg"
restlessness,"neem, nutmeg, jeera"
irritability,"kulthi, honey"
joint pain,"ginger, cardamom, licorice root"
watery eyes,"ghee, sandalwood oil, camphor"
measles,"haritaki, gotu kola, coriander"
muscle pain,"rock salt, guggulu"
dandruff,"clove, kesar"
menstrual cramps,"honey, jatamansi, neem"
delayed periods,"buttermilk, pippali, guggulu"
fracture pain,"fenugreek, aloe vera, ginger, bhumi amla"
dry cough,"shatavari, shankhpushpi, tulsi"
low libido,"daruharidra, kesar, haritaki, jeera"
ear discharge,"rock salt, ashwagandha, cinnamon, arjuna bark"
obesity,"tulsi, mulethi"
bronchitis,"neem, coriander"
morning sickness,"mulethi, ajwain, triphala, lemongrass"
tremors,"ashwagandha, til oil, bhringraj"
low immunity,"mulethi, nutmeg"
sunburn,"vidarikanda, aloe vera, brahmi, castor oil"
irritability,"garlic, haritaki"
high blood pressure,"arjuna bark, jatamansi, sandalwood oil"
low blood pressure,"til oil, yastimadhu, cinnamon, bhumi amla"
hiccups,"camphor, honey, licorice root"
stress,"daruharidra, guggulu"
delayed periods,"guggulu, sandalwood oil, brahmi"
low energy,"amla, clove, shatavari, fennel"
hair fall,"vidarikanda, til oil, bhumi amla, mulethi"
delayed periods,"jatamansi, ghee, honey, haritaki"
acidity,"til oil, mulethi, clove"
sciatica,"fenugreek, onion extract, camphor"
hearing loss,"ginger, tulsi, licorice root, coriander"
joint pain,"kulthi, basil, ginger, jeera"
gum bleeding,"bhumi amla, mint"
heat intolerance,"punarnava, jeera, mulethi, ghee"
blurred vision,"black pepper, licorice root, daruharidra"
brittle nails,"coriander, punarnava, buttermilk"
indigestion,"daruharidra, onion extract, til oil"
cold feet,"til oil, mulethi, lemongrass"
vomiting,"pippali, licorice root, kulthi"
kidney stone,"castor oil, nutmeg"
hot flashes,"gokshura, clove"
low immunity,"black pepper, arjuna bark, turmeric"
vomiting,"vidarikanda, gokshura, cinnamon"
whooping cough,"lemongrass, ghee, pippali, arjuna bark"
ear pain,"tulsi, turmeric"
headache,"sandalwood oil, neem, arjuna bark"
eczema,"gokshura, shankhpushpi, mulethi"
laryngitis,"ghee, clove, vidarikanda"
low appetite,"black pepper, basil"
foot pain,"garlic, ashwagandha, pippali, ginger"
palpitations,"shatavari, triphala, ajwain, camphor"
bloating,"gokshura, buttermilk"
shingles,"kesar, jatamansi, rock salt"
excessive hunger,"pippali, haritaki"
menstrual cramps,"mulethi, amla, cinnamon"
allergic rhinitis,"shankhpushpi, cardamom, basil"
diabetes,"shatavari, kulthi"
insomnia,"ashwagandha, buttermilk, pippali, jeera"
flu,"mulethi, manjistha, punarnava, fenugreek"
hot flashes,"ginger, mint, cardamom, ashwagandha"
bedwetting,"amla, sandalwood oil"
constipation,"turmeric, ginger, onion extract, rock salt"
sinusitis,"rock salt, triphala, bhringraj"
throat infection,"cardamom, gotu kola, haritaki"
tongue sores,"castor oil, clove, onion extract, sandalwood oil"
constipation,"haritaki, shankhpushpi, basil"
lack of focus,"mulethi, honey, bhumi amla, rock salt"
insomnia,"licorice root, ghee, black pepper"
laryngitis,"daruharidra, turmeric, licorice root"
fever,"turmeric, vidarikanda, rock salt, guggulu"
bad breath,"gotu kola, punarnava"
foot pain,"pippali, castor oil, black pepper"
dry skin,"pippali, sandalwood oil, guggulu, camphor"
colitis,"coriander, garlic"
bloating,"ghee, lemongrass, camphor"
tongue sores,"daruharidra, haritaki, mulethi"
infertility,"black pepper, kulthi"
irritability,"kulthi, tulsi, bhringraj"
swollen ankles,"mulethi, castor oil"
hepatitis,"clove, guggulu"
sweaty palms,"kesar, tulsi"
hearing loss,"ghee, fennel, fenugreek"
hair fall,"jatamansi, guggulu, gotu kola"
bronchitis,"gotu kola, gokshura, sandalwood oil"
depression,"til oil, licorice root, vidarikanda"
panic attacks,"jatamansi, fenugreek, yastimadhu"
cold,"arjuna bark, sandalwood oil, brahmi"
diabetes,"jatamansi, lemongrass, kesar"
high blood pressure,"daruharidra, yastimadhu, jatamansi, camphor"
sweaty palms,"clove, fennel, yastimadhu, kulthi"
fatigue,"shankhpushpi, lemongrass, neem"
heat intolerance,"clove, kesar"
gum bleeding,"bhringraj, ginger, triphala"
knee pain,"turmeric, yastimadhu, buttermilk, ginger"
swollen ankles,"ajwain, rock salt, jeera, onion extract"
urinary infection,"ajwain, sandalwood oil"
low immunity,"haritaki, basil, gotu kola"
vision loss,"ajwain, daruharidra"
early menopause,"buttermilk, daruharidra"
panic attacks,"til oil, pippali"
pms symptoms,"buttermilk, kesar"
hernia,"honey, brahmi, cardamom, gokshura"
gas,"ashwagandha, shatavari"
acidity,"mulethi, nutmeg, aloe vera"
acidity,"ginger, nutmeg, castor oil"
toothache,"black pepper, buttermilk"
early menopause,"guggulu, mulethi, fenugreek, arjuna bark"
low energy,"fenugreek, clove"
urinary infection,"camphor, vidarikanda, lemongrass"
sleep apnea,"jeera, ajwain"
delayed periods,"honey, vidarikanda, yastimadhu"
colitis,"gotu kola, gokshura"
numbness,"clove, licorice root, haritaki, honey"
memory loss,"til oil, lemongrass"
watery eyes,"coriander, clove, ajwain"
bronchitis,"amla, punarnava, fennel, arjuna bark"
gum bleeding,"pippali, ginger, shatavari"
sensitivity to cold,"coriander, kulthi, black pepper"
hiccups,"bhumi amla, haritaki"
low libido,"haritaki, cardamom, kulthi, jeera"
obesity,"jatamansi, gokshura, fennel, pippali"
ear discharge,"amla, black pepper, coriander"
chickenpox,"ginger, arjuna bark, amla"
cramps,"black pepper, ashwagandha, amla, guggulu"
hair greying,"basil, fenugreek"
fever,"ashwagandha, clove"
frequent urination,"mint, lemongrass"
hiccups,"bhumi amla, mulethi, pippali"
hair fall,"manjistha, bhumi amla, arjuna bark"
snoring,"punarnava, guggulu"
bronchitis,"fennel, lemongrass, gotu kola, turmeric"
cold feet,"ajwain, honey, licorice root, aloe vera"
pms symptoms,"mint, daruharidra"
spleen pain,"licorice root, coriander"
allergic rhinitis,"licorice root, coriander"
nausea,"ghee, brahmi"
low blood pressure,"kulthi, buttermilk, ajwain, turmeric"
toothache,"cinnamon, amla"
panic attacks,"nutmeg, ajwain"
blurred vision,"neem, mint"
heat intolerance,"daruharidra, bhumi amla, pippali"
kidney stone,"ginger, shankhpushpi, rock salt, ghee"
psoriasis,"mulethi, basil, aloe vera, garlic"
sweaty palms,"shankhpushpi, amla"
high blood pressure,"gotu kola, camphor"
gallstone,"castor oil, punarnava"
weak bones,"daruharidra, haritaki, shatavari"
fluid retention,"camphor, coriander, lemongrass"
menstrual cramps,"rock salt, gotu kola, triphala, manjistha"
acidity,"castor oil, camphor, cinnamon"
sciatica,"jatamansi, jeera, shankhpushpi"
cold,"basil, garlic"
watery eyes,"basil, garlic"
hyperpigmentation,"shankhpushpi, black pepper, buttermilk, sandalwood oil"
shingles,"basil, honey"
laryngitis,"cinnamon, brahmi, tulsi"
dark circles,"manjistha, camphor"
hyperpigmentation,"honey, gokshura"
gum bleeding,"arjuna bark, fenugreek, camphor"
sore throat,"camphor, turmeric, neem"
excessive hunger,"vidarikanda, aloe vera, jeera"
restlessness,"pippali, ginger"
body odor,"cardamom, pippali, gokshura"
hiccups,"brahmi, camphor, ghee, black pepper"
motion sickness,"lemongrass, honey, til oil"
hiccups,"triphala, vidarikanda, fenugreek"
hernia,"clove, buttermilk, vidarikanda"
hiccups,"arjuna bark, mint, castor oil"
neck pain,"ajwain, black pepper, punarnava"
insomnia,"manjistha, arjuna bark"
sleep apnea,"onion extract, shatavari, rock salt"
obesity,"yastimadhu, shankhpushpi, triphala, guggulu"
fatigue,"ginger, vidarikanda, cardamom"
bronchitis,"manjistha, bhringraj, arjuna bark"
foot pain,"tulsi, til oil, ghee, ashwagandha"
hot flashes,"shankhpushpi, bhumi amla"
chest congestion,"jeera, ginger, triphala"
varicose veins,"kesar, ajwain, honey"
itchy eyes,"bhumi amla, shatavari"
constipation,"ashwagandha, camphor, turmeric"
neck pain,"fenugreek, onion extract, neem, brahmi"
dry eyes,"shatavari, ginger, vidarikanda"
dark circles,"lemongrass, ashwagandha, camphor, basil"
itchy eyes,"sandalwood oil, jeera, garlic"
bloating,"arjuna bark, jeera"
back pain,"daruharidra, garlic, jatamansi"
neck pain,"mint, neem, shatavari, daruharidra"
spleen pain,"onion extract, clove"
asthma,"ginger, ghee"
diabetes,"aloe vera, arjuna bark, licorice root, yastimadhu"
snoring,"arjuna bark, tulsi, kulthi, turmeric"
acidity,"garlic, til oil, onion extract"
sensitivity to cold,"shankhpushpi, tulsi, guggulu"
shingles,"garlic, jatamansi, aloe vera"
migraine,"licorice root, mint, garlic, bhumi amla"
knee pain,"clove, licorice root, bhringraj, til oil"
excessive hunger,"gotu kola, bhumi amla, haritaki, kesar"
watery eyes,"clove, basil, jatamansi"
neck pain,"vidarikanda, gotu kola, tulsi, mulethi"
menstrual cramps,"til oil, sandalwood oil"
cold feet,"neem, tulsi"
gas,"ajwain, pippali, nutmeg"
dandruff,"garlic, mint, arjuna bark, jatamansi"
cold sores,"onion extract, shankhpushpi, castor oil"
low immunity,"gokshura, brahmi, pippali, garlic"
joint pain,"punarnava, licorice root"
measles,"rock salt, ghee"
low appetite,"daruharidra, black pepper, bhringraj"
liver issues,"aloe vera, guggulu, clove, triphala"
gallstone,"bhumi amla, black pepper, manjistha, shankhpushpi"
gallstone,"pippali, ghee, kesar, coriander"
chest congestion,"shankhpushpi, jatamansi, neem, shatavari"
vomiting,"arjuna bark, bhumi amla, jeera"
measles,"mint, black pepper, vidarikanda"
back pain,"vidarikanda, garlic"
throat infection,"bhumi amla, yastimadhu, amla"
gallstone,"coriander, honey"
hepatitis,"tulsi, haritaki"
appendicitis,"ashwagandha, mint, ghee"
fever,"clove, kesar, ajwain"
colitis,"nutmeg, yastimadhu, rock salt"
asthma,"daruharidra, ashwagandha, yastimadhu, arjuna bark"
fluid retention,"sandalwood oil, lemongrass, ginger, amla"
insomnia,"arjuna bark, shatavari, clove, cardamom"
cold sores,"basil, jatamansi"
cramps,"gotu kola, clove"
low libido,"ginger, pippali, bhumi amla, black pepper"
excessive hunger,"rock salt, ashwagandha, til oil, lemongrass"
asthma,"shankhpushpi, castor oil, coriander"
fever,"cinnamon, ghee, ashwagandha, tulsi"
delayed periods,"licorice root, shatavari, mulethi, jatamansi"
enlarged liver,"camphor, black pepper, fenugreek, lemongrass"
motion sickness,"onion extract, clove"
lack of focus,"lemongrass, amla, daruharidra"
cold feet,"black pepper, manjistha"
tinnitus,"jeera, ashwagandha, haritaki"
headache,"vidarikanda, clove, triphala, neem"
gallstone,"cinnamon, haritaki"
swollen ankles,"triphala, punarnava"
hepatitis,"haritaki, onion extract, arjuna bark, neem"
pms symptoms,"haritaki, onion extract, licorice root, honey"
diabetes,"haritaki, shatavari, arjuna bark, ginger"
watery eyes,"daruharidra, guggulu, rock salt, jatamansi"
motion sickness,"bhringraj, licorice root, camphor"
low energy,"gokshura, turmeric, triphala"
psoriasis,"gotu kola, ghee, shatavari, aloe vera"
early menopause,"pippali, jatamansi"
skin rash,"triphala, gotu kola"
throat infection,"vidarikanda, amla"
flu,"sandalwood oil, honey"
brittle nails,"yastimadhu, jeera"
sinusitis,"ajwain, cinnamon, clove"
itching,"basil, mulethi"
menstrual cramps,"gokshura, neem, sandalwood oil"
tinnitus,"shankhpushpi, punarnava, black pepper"
chest congestion,"bhringraj, til oil, garlic"
ear pain,"tulsi, ajwain, clove, arjuna bark"
underweight,"bhumi amla, guggulu, buttermilk, neem"
gallstone,"jatamansi, mulethi"
underweight,"sandalwood oil, jeera, kesar, cinnamon"
whooping cough,"brahmi, cardamom, licorice root, guggulu"
motion sickness,"gokshura, shatavari, castor oil, cardamom"
frequent urination,"ghee, vidarikanda"
urinary infection,"tulsi, pippali"
sciatica,"shatavari, garlic, black pepper, mulethi"
enlarged liver,"vidarikanda, punarnava, neem"
tinnitus,"neem, shankhpushpi, kulthi, fenugreek"
fatigue,"daruharidra, sandalwood oil, mulethi, cardamom"
hypopigmentation,"clove, cinnamon, camphor, onion extract"
measles,"cinnamon, garlic, rock salt, neem"
varicose veins,"haritaki, til oil, bhringraj, clove"
early menopause,"ginger, ajwain, haritaki"
hypopigmentation,"guggulu, cinnamon"
rheumatism,"kulthi, til oil, gotu kola"
hypopigmentation,"black pepper, brahmi, kesar"
early menopause,"amla, black pepper, guggulu"
gum bleeding,"tulsi, vidarikanda, shatavari"
menstrual cramps,"vidarikanda, fennel, amla, aloe vera"
ear pain,"clove, til oil, licorice root"
nausea,"ginger, amla"
toothache,"manjistha, neem"
constipation,"licorice root, jeera, castor oil, coriander"
joint pain,"brahmi, aloe vera, fenugreek, sandalwood oil"
dry eyes,"nutmeg, punarnava"
lack of focus,"rock salt, garlic"
low energy,"lemongrass, brahmi, licorice root"
tongue sores,"neem, buttermilk"
tremors,"turmeric, coriander, mint, triphala"
frequent urination,"castor oil, ashwagandha"
lack of focus,"coriander, arjuna bark"
gastritis,"fenugreek, fennel, kesar, haritaki"
sciatica,"buttermilk, licorice root"
ear discharge,"mint, cardamom, punarnava"
pms symptoms,"cardamom, punarnava"
cracked heels,"ginger, guggulu, cardamom"
whooping cough,"mint, daruharidra, triphala"
menstrual cramps,"jatamansi, punarnava, onion extract"
enlarged liver,"fennel, cardamom"
restlessness,"triphala, ajwain, neem"
eye strain,"daruharidra, vidarikanda, guggulu, jatamansi"
sensitivity to cold,"ghee, brahmi, ashwagandha"
migraine,"gokshura, ginger"
bronchitis,"til oil, yastimadhu, vidarikanda, gotu kola"
mouth ulcers,"sandalwood oil, licorice root, neem"
dandruff,"guggulu, cinnamon, brahmi"
sciatica,"amla, sandalwood oil, cinnamon"
skin rash,"aloe vera, bhumi amla, vidarikanda, gokshura"
sore throat,"garlic, guggulu"
gas,"ashwagandha, pippali, kesar"
dandruff,"arjuna bark, rock salt"
sinusitis,"til oil, tulsi, gokshura, triphala"
obesity,"jatamansi, daruharidra, bhringraj"
flu,"amla, ajwain, shankhpushpi"
infertility,"onion extract, bhumi amla, bhringraj, triphala"
panic attacks,"licorice root, shatavari, arjuna bark, guggulu"
varicose veins,"basil, lemongrass"
fracture pain,"basil, garlic"
dark circles,"arjuna bark, turmeric, lemongrass"
eye strain,"bhringraj, punarnava, shatavari, arjuna bark"
neck pain,"guggulu, buttermilk"
muscle pain,"mulethi, licorice root, buttermilk, nutmeg"
underweight,"black pepper, tulsi, garlic, rock salt"
watery eyes,"ghee, til oil, arjuna bark"
low blood pressure,"basil, triphala, neem"
bronchitis,"lemongrass, garlic, shankhpushpi, aloe vera"
sweaty palms,"aloe vera, mint"
kidney stone,"coriander, gokshura"
enlarged liver,"tulsi, brahmi, turmeric, rock salt"
numbness,"castor oil, cardamom, yastimadhu, pippali"
low immunity,"black pepper, shankhpushpi"
hair greying,"rock salt, honey"
fracture pain,"tulsi, bhumi amla, amla"
skin rash,"onion extract, brahmi"
heat intolerance,"bhumi amla, fenugreek, gotu kola, jatamansi"
insomnia,"cinnamon, mulethi, ghee, yastimadhu"
dry eyes,"fenugreek, cardamom"
foot pain,"guggulu, gotu kola, yastimadhu"
numbness,"mint, licorice root"
knee pain,"manjistha, punarnava, castor oil, fenugreek"
dry cough,"cinnamon, rock salt, neem"
allergic rhinitis,"coriander, til oil"
hearing loss,"ghee, brahmi"
muscle pain,"licorice root, sandalwood oil, vidarikanda"
shingles,"fenugreek, camphor, shatavari, cardamom"
high blood pressure,"neem, triphala, shatavari"
panic attacks,"jatamansi, nutmeg, triphala, shatavari"
migraine,"ashwagandha, sandalwood oil"
sensitivity to cold,"daruharidra, ajwain"
vomiting,"shankhpushpi, kulthi"
low immunity,"punarnava, gotu kola"
psoriasis,"kulthi, clove, kesar"
panic attacks,"ghee, haritaki, neem"
early menopause,"onion extract, camphor, basil, fenugreek"
low appetite,"cinnamon, til oil, ashwagandha"
psoriasis,"brahmi, punarnava, bhringraj, manjistha"
tinnitus,"rock salt, mint, amla"
foot pain,"cardamom, rock salt, fennel"
throat infection,"amla, coriander, gokshura"
bedwetting,"jatamansi, haritaki, gotu kola, cardamom"
gum bleeding,"kesar, shankhpushpi"
gas,"neem, fenugreek, rock salt, vidarikanda"
lack of focus,"turmeric, honey, aloe vera, garlic"
laryngitis,"shankhpushpi, neem, brahmi, rock salt"
flu,"brahmi, rock salt, lemongrass"
dry skin,"mint, basil"
watery eyes,"neem, cardamom, rock salt, castor oil"
sensitivity to cold,"ajwain, pippali, gokshura, vidarikanda"
measles,"lemongrass, yastimadhu, vidarikanda, gotu kola"
itching,"mulethi, garlic, camphor, haritaki"
watery eyes,"punarnava, black pepper, ghee, amla"
gastritis,"mint, neem"
urinary infection,"cardamom, vidarikanda"
