Symptom,Traditional_Remedies
dry skin,"garlic, neem"
delayed periods,"camphor, castor oil, onion extract"
high blood pressure,"vidarikanda, pippali, jeera"
cold sores,"turmeric, ajwain"
dark circles,"nutmeg, coriander, rock salt"
infertility,"mint, kesar, ginger"
shingles,"triphala, black pepper, daruharidra"
numbness,"arjuna bark, ajwain"
restlessness,"castor oil, neem"
delayed periods,"fenugreek, bhumi amla"
fever,"kesar, basil, triphala"
ear pain,"shatavari, fenugreek"
knee pain,"guggulu, garlic"
appendicitis,"til oil, vidarikanda, onion extract"
bronchitis,"garlic, honey, bhumi amla, arjuna bark"
foot pain,"cinnamon, tulsi, basil"
headache,"pippali, guggulu, fenugreek"
neck pain,"jatamansi, cardamom"
varicose veins,"pippali, bhumi amla, buttermilk, garlic"
flu,"shankhpushpi, rock salt"
tongue sores,"mulethi, bhumi amla, daruharidra, coriander"
urinary infection,"kulthi, nutmeg"
greasy skin,"turmeric, brahmi, onion extract"
itchy eyes,"daruharidra, castor oil, nutmeg, onion extract"
laryngitis,"basil, jatamansi, jeera"
stomach cramps,"sandalwood oil, tulsi"
joint pain,"shatavari, vidarikanda, basil, fennel"
body odor,"mint, triphala, shatavari, clove"
body odor,"vidarikanda, sandalwood oil"
indigestion,"tulsi, mulethi"
irritability,"rock salt, buttermilk"
insomnia,"pippali, ashwagandha, ajwain, jatamansi"
appendicitis,"shankhpushpi, cardamom, shatavari, ajwain"
neck pain,"pippali, shatavari, camphor, buttermilk"
chest congestion,"punarnava, black pepper, ginger"
blurred vision,"guggulu, coriander, triphala, ginger"
kidney stone,"ajwain, bhringraj"
memory loss,"triphala, gotu kola"
varicose veins,"shatavari, pippali, aloe vera"
hernia,"ginger, camphor"
dry eyes,"onion extract, ashwagandha"
joint pain,"jatamansi, mint, fenugreek, ginger"
stress,"cinnamon, rock salt, punarnava, brahmi"
snoring,"amla, arjuna bark"
mental fog,"fenugreek, fennel, turmeric"
hiccups,"turmeric, arjuna bark, neem, amla"
shingles,"fenugreek, yastimadhu"
acidity,"aloe vera, ginger, fenugreek"
hypopigmentation,"daruharidra, licorice root, guggulu, nutmeg"
constipation,"ghee, cardamom"
spleen pain,"haritaki, aloe vera"
memory loss,"garlic, sandalwood oil, bhringraj, castor oil"
delayed periods,"fennel, pippali, turmeric"
enlarged liver,"gokshura, guggulu, daruharidra"
mouth ulcers,"jatamansi, brahmi"
morning sickness,"fennel, cinnamon"
palpitations,"aloe vera, til oil"
measles,"ghee, shankhpushpi"
hernia,"triphala, punarnava, kulthi, black pepper"
low libido,"kesar, gotu kola, coriander"
hypopigmentation,"lemongrass, buttermilk, shankhpushpi"
sleep apnea,"manjistha, fenugreek, mint, arjuna bark"
enlarged liver,"lemongrass, vidarikanda"
depression,"castor oil, daruharidra, licorice root"
palpitations,"gotu kola, cinnamon, gokshura, ashwagandha"
excessive hunger,"cardamom, ajwain, rock salt"
frequent urination,"daruharidra, onion extract, haritaki, ashwagandha"
obesity,"fenugreek, sandalwood oil"
swollen ankles,"buttermilk, black pepper, lemongrass, triphala"
hair greying,"ginger, jatamansi, bhumi amla"
tinnitus,"bhumi amla, jatamansi, kulthi, til oil"
chickenpox,"cinnamon, ginger, kulthi, rock salt"
hair fall,"cinnamon, neem, daruharidra"
fatigue,"arjuna bark, guggulu, ashwagandha"
gum bleeding,"bhumi amla, ghee, cardamom"
laryngitis,"basil, onion extract, clove, bhumi amla"
hearing loss,"tulsi, ghee, jatamansi"
headache,"triphala, coriander, gotu kola"
colitis,"nutmeg, gotu kola"
skin rash,"coriander, vidarikanda, bhumi amla, yastimadhu"
bronchitis,"ghee, castor oil"
sweaty palms,"kesar, bhringraj, clove, pippali"
mental fog,"black pepper, basil, brahmi"
frequent urination,"punarnava, mint"
itchy eyes,"vidarikanda, ginger"
heat intolerance,"bhumi amla, til oil"
dry skin,"jeera, ashwagandha, haritaki"
flu,"daruharidra, basil"
menstrual cramps,"fenugreek, haritaki"
nausea,"black pepper, buttermilk, daruharidra, jatamansi"
lack of focus,"camphor, kesar"
hypopigmentation,"basil, coriander, manjistha, mint"
itching,"brahmi, cardamom, black pepper, kesar"
liver issues,"gokshura, cardamom"
varicose veins,"cardamom, pippali, rock salt"
enlarged liver,"brahmi, shankhpushpi, jeera"
tremors,"kulthi, shankhpushpi, amla, brahmi"
obesity,"jatamansi, haritaki"
dry cough,"vidarikanda, gotu kola, cinnamon"
high blood pressure,"ashwagandha, turmeric"
tongue sores,"garlic, guggulu"
watery eyes,"coriander, daruharidra"
hair greying,"ajwain, coriander, nutmeg"
tongue sores,"onion extract, kulthi, amla"
migraine,"haritaki, daruharidra"
diabetes,"neem, black pepper, arjuna bark, amla"
sinusitis,"ashwagandha, bhumi amla, camphor"
headache,"brahmi, gokshura, jatamansi"
memory loss,"castor oil, fennel, coriander"
muscle pain,"buttermilk, brahmi, fenugreek"
weak bones,"tulsi, ashwagandha"
dry cough,"gotu kola, jeera, kesar"
pms symptoms,"clove, shatavari"
chest congestion,"aloe vera, fennel"
depression,"bhumi amla, licorice root"
body odor,"mulethi, yastimadhu, arjuna bark, mint"
greasy skin,"nutmeg, ashwagandha"
gallstone,"coriander, nutmeg"
sore throat,"aloe vera, ashwagandha"
flu,"neem, ginger, kulthi"
mental fog,"arjuna bark, jatamansi, sandalwood oil"
tongue sores,"neem, lemongrass"
nausea,"ginger, ashwagandha, yastimadhu"
weak bones,"kesar, fenugreek"
body odor,"bhumi amla, camphor, cardamom"
cold,"manjistha, onion extract"
eye strain,"daruharidra, yastimadhu"
cold sores,"triphala, daruharidra"
eye strain,"bhumi amla, til oil, mulethi"
sciatica,"honey, ghee, rock salt, black pepper"
appendicitis,"fenugreek, fennel"
cold sores,"nutmeg, aloe vera, honey, kesar"
chest congestion,"ghee, mint, cardamom, guggulu"
whooping cough,"sandalwood oil, yastimadhu, pippali, bhumi amla"
hair fall,"coriander, basil"
sleep apnea,"honey, cardamom, bhringraj, gokshura"
low energy,"ghee, guggulu, fenugreek"
chest congestion,"haritaki, tulsi"
bloating,"honey, camphor"
migraine,"brahmi, mulethi, haritaki, onion extract"
insomnia,"coriander, ashwagandha"
irritability,"shatavari, manjistha"
colitis,"ginger, rock salt, neem"
enlarged liver,"sandalwood oil, kulthi"
excessive hunger,"cinnamon, basil, licorice root, jatamansi"
kidney stone,"arjuna bark, triphala"
bronchitis,"onion extract, manjistha, fenugreek, ashwagandha"
pms symptoms,"fenugreek, lemongrass, mulethi, haritaki"
dry cough,"jeera, tulsi"
dry cough,"gotu kola, nutmeg"
motion sickness,"neem, til oil, punarnava"
hyperpigmentation,"guggulu, mulethi, pippali"
measles,"triphala, fennel"
morning sickness,"rock salt, triphala"
stomach cramps,"gotu kola, ajwain, kesar"
back pain,"til oil, nutmeg, ghee"
hiccups,"til oil, coriander, shankhpushpi, punarnava"
greasy skin,"vidarikanda, til oil, haritaki, coriander"
body odor,"basil, jatamansi, bhumi amla, garlic"
bloating,"garlic, lemongrass, shankhpushpi"
gallstone,"neem, aloe vera, amla"
chest congestion,"jeera, buttermilk, tulsi"
mental fog,"ashwagandha, til oil, daruharidra, triphala"
fracture pain,"mint, daruharidra"
mouth ulcers,"amla, kesar, haritaki"
sunburn,"pippali, manjistha, kesar"
gum bleeding,"clove, ginger, kesar"
sciatica,"basil, manjistha, ajwain, lemongrass"
anxiety,"brahmi, honey, gokshura, mulethi"
hyperpigmentation,"nutmeg, mulethi, brahmi"
fluid retention,"guggulu, basil, cardamom, pippali"
vomiting,"tulsi, haritaki, coriander"
throat infection,"guggulu, fennel"
obesity,"cinnamon, til oil, gotu kola, mulethi"
nausea,"yastimadhu, castor oil, black pepper"
low energy,"vidarikanda, cardamom, fennel"
excessive hunger,"ashwagandha, fennel"
restlessness,"bhringraj, basil, daruharidra"
low libido,"garlic, haritaki, shankhpushpi"
numbness,"ashwagandha, clove"
ear discharge,"punarnava, black pepper"
palpitations,"rock salt, mulethi, arjuna bark"
cold feet,"kulthi, triphala, kesar"
insomnia,"buttermilk, lemongrass"
stress,"coriander, fennel, neem, brahmi"
itching,"licorice root, castor oil, cinnamon"
migraine,"nutmeg, mulethi"
throat infection,"aloe vera, kulthi"
sleep apnea,"buttermilk, garlic, castor oil"
hernia,"tulsi, rock salt"
dark circles,"til oil, shatavari, honey"
cold,"mint, tulsi, aloe vera"
spleen pain,"rock salt, garlic, yastimadhu, honey"
anxiety,"vidarikanda, kulthi"
watery eyes,"manjistha, rock salt, haritaki"
laryngitis,"basil, neem"
dandruff,"ghee, clove"
cold sores,"mint, rock salt, punarnava, cinnamon"
enlarged liver,"ajwain, kulthi"
underweight,"punarnava, kulthi"
itching,"tulsi, honey, basil, kesar"
liver issues,"punarnava, haritaki"
allergic rhinitis,"black pepper, shankhpushpi, honey"
cold sores,"onion extract, jatamansi, sandalwood oil"
fluid retention,"honey, bhringraj"
allergic rhinitis,"turmeric, mint"
itchy eyes,"clove, nutmeg, punarnava"
laryngitis,"coriander, onion extract"
urinary infection,"mulethi, cinnamon, nutmeg"
acne,"gotu kola, ajwain"
spleen pain,"basil, daruharidra, fenugreek, guggulu"
watery eyes,"jeera, fenugreek, neem, aloe vera"
cold,"triphala, punarnava, brahmi, vidarikanda"
high blood pressure,"cinnamon, yastimadhu, ajwain"
sensitivity to cold,"ajwain, haritaki"
frequent urination,"nutmeg, arjuna bark, neem, ashwagandha"
nausea,"gotu kola, basil, haritaki, buttermilk"
itchy eyes,"daruharidra, ajwain"
nausea,"cinnamon, ginger"
neck pain,"buttermilk, ginger"
motion sickness,"til oil, castor oil, amla, basil"
hiccups,"neem, pippali, amla"
dry skin,"amla, ajwain"
vomiting,"licorice root, cardamom, cinnamon"
bedwetting,"black pepper, rock salt, manjistha"
lack of focus,"guggulu, honey, cinnamon, castor oil"
sciatica,"jeera, tulsi"
kidney stone,"honey, yastimadhu"
stress,"tulsi, yastimadhu, triphala"
restlessness,"manjistha, nutmeg, bhringraj"
liver issues,"shatavari, black pepper, gotu kola, coriander"
gastritis,"kulthi, mulethi"
liver issues,"fenugreek, ginger"
cold sores,"arjuna bark, licorice root, basil, onion extract"
vision loss,"onion extract, basil"
swollen ankles,"kesar, ashwagandha"
palpitations,"ajwain, buttermilk, guggulu"
fatigue,"ghee, shankhpushpi, kulthi, rock salt"
migraine,"castor oil, black pepper"
acidity,"tulsi, jeera"
dry cough,"kulthi, kesar, shankhpushpi"
low appetite,"gokshura, cinnamon, mulethi"
sciatica,"gokshura, onion extract, daruharidra"
cold,"guggulu, til oil, black pepper, gotu kola"
insomnia,"buttermilk, brahmi, garlic, gokshura"
stress,"guggulu, daruharidra, mint"
underweight,"ginger, yastimadhu, manjistha, mulethi"
palpitations,"licorice root, lemongrass"
foot pain,"jatamansi, brahmi, bhumi amla, neem"
back pain,"guggulu, kesar, basil, black pepper"
vision loss,"coriander, manjistha, lemongrass, bhringraj"
chickenpox,"ashwagandha, punarnava, tulsi, ghee"
infertility,"turmeric, mulethi"
fracture pain,"black pepper, kulthi"
kidney stone,"clove, daruharidra, turmeric, tulsi"
cramps,"gokshura, brahmi"
bad breath,"honey, garlic, jeera, triphala"
varicose veins,"til oil, fennel, triphala"
sleep apnea,"amla, arjuna bark"
swollen ankles,"pippali, onion extract, turmeric, bhumi amla"
constipation,"pippali, yastimadhu, amla, punarnava"
memory loss,"cinnamon, jeera, gotu kola, jatamansi"
palpitations,"mint, ashwagandha, pippali"
dry cough,"pippali, manjistha, til oil"
liver issues,"honey, ghee, brahmi, castor oil"
hearing loss,"onion extract, honey, turmeric"
swollen ankles,"lemongrass, basil, neem"
low blood pressure,"camphor, jatamansi, fenugreek, arjuna bark"
hiccups,"fennel, turmeric, fenugreek, ghee"
eye strain,"arjuna bark, lemongrass, guggulu"
acne,"manjistha, neem, kulthi"
colitis,"rock salt, til oil, tulsi, vidarikanda"
blurred vision,"guggulu, fenugreek, aloe vera, buttermilk"
hair fall,"triphala, pippali"
bronchitis,"pippali, nutmeg, lemongrass"
chickenpox,"cardamom, manjistha, amla"
foot pain,"fennel, shankhpushpi, ajwain"
sunburn,"triphala, buttermilk, bhumi amla"
sensitivity to cold,"vidarikanda, lemongrass, aloe vera, shankhpushpi"
hiccups,"bhumi amla, daruharidra, fenugreek"
dry cough,"vidarikanda, jeera, kesar, guggulu"
bad breath,"garlic, shatavari, fennel"
sweaty palms,"bhringraj, guggulu, camphor"
migraine,"aloe vera, sandalwood oil"
insomnia,"amla, lemongrass"
low blood pressure,"turmeric, yastimadhu, mint"
chickenpox,"mint, onion extract, arjuna bark, guggulu"
hair fall,"ghee, haritaki, ashwagandha"
dry cough,"gokshura, cinnamon, kulthi, castor oil"
headache,"daruharidra, ashwagandha"
eye strain,"buttermilk, ashwagandha"
gas,"licorice root, kesar, tulsi, castor oil"
hair greying,"daruharidra, jeera, kulthi"
flu,"garlic, gotu kola"
spleen pain,"bhringraj, punarnava, arjuna bark"
cramps,"buttermilk, gotu kola, licorice root, mint"
toothache,"gokshura, turmeric"
varicose veins,"camphor, bhringraj, triphala"
constipation,"onion extract, guggulu"
back pain,"cardamom, mulethi"
bad breath,"cinnamon, vidarikanda, manjistha"
sinusitis,"ashwagandha, jeera, fennel"
itching,"neem, honey, vidarikanda"
ear pain,"bhringraj, sandalwood oil, guggulu"
psoriasis,"til oil, licorice root, triphala, bhumi amla"
joint pain,"haritaki, mint"
sunburn,"buttermilk, basil, bhringraj"
sciatica,"mint, arjuna bark, bhumi amla, honey"
cold,"licorice root, fenugreek, ginger"
infertility,"gokshura, jeera, aloe vera"
chickenpox,"onion extract, triphala, honey"
tongue sores,"neem, amla, til oil"
obesity,"mulethi, mint"
fever,"buttermilk, rock salt, camphor, yastimadhu"
hyperpigmentation,"buttermilk, kesar"
numbness,"cinnamon, aloe vera"
joint pain,"mulethi, basil, black pepper, punarnava"
eczema,"neem, mulethi, fennel"
sensitivity to cold,"black pepper, clove, kesar, bhringraj"
sweaty palms,"garlic, neem, kulthi"
sleep apnea,"kulthi, ginger"
sweaty palms,"triphala, nutmeg, shankhpushpi, manjistha"
headache,"bhringraj, amla, lemongrass"
spleen pain,"triphala, camphor"
varicose veins,"kesar, honey, triphala, nutmeg"
spleen pain,"daruharidra, clove, sandalwood oil, kulthi"
spleen pain,"mint, sandalwood oil, nutmeg"
itchy eyes,"fennel, licorice root, jatamansi, mint"
skin rash,"basil, fenugreek"
low blood pressure,"basil, clove, camphor, honey"
stress,"licorice root, lemongrass, arjuna bark, pippali"
cold sores,"jatamansi, pippali"
stomach cramps,"shatavari, jatamansi, guggulu"
hernia,"coriander, ajwain"
heat intolerance,"camphor, amla, sandalwood oil"
swollen ankles,"yastimadhu, kulthi, fennel"
back pain,"jatamansi, basil, vidarikanda, buttermilk"
sunburn,"daruharidra, shatavari"
swollen ankles,"neem, mint, guggulu"
chest congestion,"kesar, bhumi amla, lemongrass"
sore throat,"kulthi, haritaki, jatamansi"
fatigue,"punarnava, rock salt"
anxiety,"ginger, onion extract"
low blood pressure,"sandalwood oil, fennel, vidarikanda"
hypopigmentation,"jeera, turmeric"
cold sores,"mulethi, punarnava"
itching,"bhringraj, jatamansi"
kidney stone,"garlic, pippali, amla, jeera"
low immunity,"daruharidra, shankhpushpi, basil, turmeric"
measles,"basil, rock salt"
knee pain,"daruharidra, buttermilk"
hernia,"manjistha, cinnamon, ghee"
foot pain,"daruharidra, triphala, cinnamon"
eczema,"mulethi, daruharidra, shankhpushpi, sandalwood oil"
indigestion,"bhumi amla, gotu kola, licorice root, ajwain"
colitis,"ginger, yastimadhu, amla"
gas,"ghee, guggulu, fenugreek"
hair greying,"ajwain, mulethi, fenugreek, manjistha"
frequent urination,"manjistha, brahmi, amla"
depression,"ginger, fennel, pippali, sandalwood oil"
high blood pressure,"licorice root, fenugreek, guggulu, shankhpushpi"
sleep apnea,"cinnamon, onion extract, ginger"
knee pain,"arjuna bark, ghee"
hyperpigmentation,"arjuna bark, ginger, manjistha"
headache,"jatamansi, yastimadhu"
fracture pain,"onion extract, ghee, bhumi amla"
excessive hunger,"licorice root, haritaki"
dark circles,"shankhpushpi, nutmeg, ginger, jeera"
irritability,"cardamom, amla"
early menopause,"yastimadhu, cardamom, cinnamon"
watery eyes,"shatavari, black pepper, fennel, buttermilk"
ear discharge,"ginger, rock salt"
throat infection,"sandalwood oil, buttermilk, cardamom, kulthi"
varicose veins,"haritaki, ashwagandha, clove"
diabetes,"shatavari, guggulu"
hyperpigmentation,"fenugreek, gokshura, kulthi, punarnava"
cold sores,"kulthi, onion extract, til oil"
fever,"clove, kulthi, shankhpushpi"
toothache,"basil, mulethi"
snoring,"kesar, nutmeg"
throat infection,"honey, castor oil, mint, bhringraj"
joint pain,"rock salt, sandalwood oil, castor oil"
insomnia,"nutmeg, ginger, triphala, vidarikanda"
hot flashes,"bhumi amla, kulthi, lemongrass"
tongue sores,"castor oil, manjistha"
gas,"rock salt, mulethi, black pepper, neem"
lack of focus,"fennel, bhringraj, jatamansi, jeera"
numbness,"fennel, black pepper"
tremors,"ghee, buttermilk, fenugreek, brahmi"
laryngitis,"mulethi, gokshura, yastimadhu, brahmi"
infertility,"shankhpushpi, ajwain, kulthi"
knee pain,"pippali, amla, lemongrass"
kidney stone,"bhumi amla, arjuna bark, kesar"
panic attacks,"rock salt, pippali, til oil, kesar"
knee pain,"pippali, rock salt, onion extract, fenugreek"
stress,"bhumi amla, black pepper, guggulu, daruharidra"
insomnia,"daruharidra, black pepper, guggulu, ghee"
varicose veins,"shankhpushpi, arjuna bark, daruharidra"
tremors,"honey, pippali"
sinusitis,"licorice root, castor oil, kulthi"
colitis,"arjuna bark, punarnava, haritaki"
hiccups,"black pepper, mint, ghee, til oil"
insomnia,"punarnava, onion extract"
cold,"pippali, kulthi"
menstrual cramps,"ghee, shankhpushpi, tulsi, camphor"
liver issues,"honey, sandalwood oil, shankhpushpi"
vomiting,"camphor, ajwain, gokshura, bhumi amla"
numbness,"onion extract, guggulu, ghee, honey"
flu,"ashwagandha, cinnamon, shankhpushpi, turmeric"
swollen ankles,"haritaki, mulethi, til oil, ashwagandha"
sinusitis,"turmeric, daruharidra, cinnamon, yastimadhu"
bad breath,"tulsi, jeera"
sore throat,"coriander, jatamansi"
dark circles,"tulsi, sandalwood oil, buttermilk"
migraine,"aloe vera, pippali, castor oil"
back pain,"arjuna bark, jeera"
panic attacks,"brahmi, buttermilk, til oil"
tinnitus,"triphala, guggulu, bhringraj, ajwain"
sweaty palms,"fennel, guggulu, mulethi, castor oil"
chickenpox,"fennel, vidarikanda, jatamansi, manjistha"
bronchitis,"clove, fennel, jeera"
sleep apnea,"coriander, jeera, bhringraj, yastimadhu"
brittle nails,"onion extract, mint, gotu kola"
gum bleeding,"arjuna bark, shankhpushpi, licorice root"
excessive hunger,"ghee, gokshura"
spleen pain,"yastimadhu, jatamansi"
liver issues,"yastimadhu, punarnava"
acne,"neem, ginger, cinnamon"
cramps,"manjistha, ginger, amla, shatavari"
early menopause,"turmeric, amla"
acidity,"haritaki, triphala, amla, brahmi"
knee pain,"honey, aloe vera"
restlessness,"ashwagandha, bhumi amla, gotu kola"
delayed periods,"yastimadhu, ajwain, buttermilk, aloe vera"
hernia,"brahmi, fenugreek, buttermilk"
sleep apnea,"licorice root, basil"
numbness,"turmeric, bhringraj"
cold feet,"sandalwood oil, arjuna bark, onion extract, ghee"
snoring,"tulsi, ghee, pippali"
knee pain,"guggulu, neem, coriander"
hepatitis,"ginger, mulethi"
cold feet,"honey, gokshura, vidarikanda"
toothache,"triphala, turmeric"
cold sores,"kesar, garlic, bhringraj, turmeric"
vision loss,"bhringraj, gokshura"
morning sickness,"ajwain, daruharidra, jeera"
low libido,"pippali, fenugreek"
throat infection,"kesar, bhringraj, jatamansi, basil"
fracture pain,"cardamom, tulsi, shankhpushpi"
sweaty palms,"daruharidra, gokshura, basil, tulsi"
cold feet,"ginger, lemongrass"
eye strain,"mint, yastimadhu, fenugreek"
stress,"coriander, triphala, pippali, cinnamon"
appendicitis,"arjuna bark, neem, punarnava"
frequent urination,"shatavari, fennel, amla"
irritability,"kulthi, jatamansi, black pepper"
anxiety,"mulethi, coriander, neem, aloe vera"
hypopigmentation,"ajwain, arjuna bark, punarnava"
memory loss,"amla, gotu kola, neem, buttermilk"
cracked heels,"mint, nutmeg, mulethi"
asthma,"ajwain, neem, til oil"
asthma,"turmeric, lemongrass, jatamansi"
nausea,"vidarikanda, onion extract, licorice root, brahmi"
hot flashes,"basil, triphala, onion extract"
acidity,"guggulu, punarnava"
laryngitis,"gokshura, amla, black pepper, honey"
burning sensation,"nutmeg, amla"
hiccups,"rock salt, til oil, pippali"
anxiety,"honey, punarnava, amla, ajwain"
hiccups,"sandalwood oil, haritaki"
stomach cramps,"yastimadhu, buttermilk"
nausea,"castor oil, mulethi, basil, clove"
varicose veins,"gotu kola, daruharidra, kesar, tulsi"
mental fog,"tulsi, fennel, shatavari, daruharidra"
itchy eyes,"turmeric, honey, gotu kola"
migraine,"guggulu, cardamom"
brittle nails,"bhringraj, yastimadhu, pippali, coriander"
cold feet,"vidarikanda, ginger, ashwagandha, triphala"
swollen ankles,"mint, ajwain, shankhpushpi"
burning sensation,"til oil, neem, amla"
fracture pain,"basil, aloe vera, fenugreek"
frequent urination,"garlic, shankhpushpi, aloe vera"
restlessness,"ajwain, bhumi amla, jatamansi, fennel"
sleep apnea,"lemongrass, kesar, jatamansi, brahmi"
kidney stone,"vidarikanda, pippali, turmeric, triphala"
toothache,"fenugreek, mint, turmeric, castor oil"
gastritis,"lemongrass, fenugreek, amla, ajwain"
skin rash,"punarnava, vidarikanda"
memory loss,"rock salt, castor oil, haritaki, ajwain"
throat infection,"fennel, nutmeg, ghee, coriander"
hot flashes,"haritaki, ginger, jatamansi"
blurred vision,"bhringraj, amla"
back pain,"ghee, daruharidra, nutmeg, gokshura"
low appetite,"manjistha, brahmi"
anxiety,"jatamansi, punarnava, clove, aloe vera"
morning sickness,"clove, jeera"
throat infection,"bhringraj, shatavari"
knee pain,"onion extract, cinnamon"
skin rash,"licorice root, sandalwood oil, mint, bhringraj"
knee pain,"rock salt, bhringraj, jeera"
fever,"fenugreek, turmeric, amla, garlic"
tinnitus,"neem, vidarikanda"
constipation,"camphor, jatamansi, basil"
blurred vision,"daruharidra, gokshura"
